date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2010-12-15,94.440303,94.812173,94.022893,94.182266,160823100,-0.004583,0.142837,74.5
2010-12-16,94.242996,94.797012,93.91666,94.728706,185035200,0.005785,0.143225,74.5
2010-12-17,94.662328,94.952233,94.463969,94.83017,141075300,0.001071,0.132977,74.5
2010-12-20,95.089553,95.287913,94.586034,95.059036,119085500,0.002411,0.132768,74.5
2010-12-21,95.356592,95.722793,95.265046,95.661758,94965500,0.00632,0.133519,74.5
2010-12-22,95.730411,95.989799,95.677008,95.959282,78878100,0.003105,0.131367,74.5
2010-12-23,95.852485,95.959293,95.585467,95.821968,70053700,-0.001432,0.131336,74.5
2010-12-27,95.463359,95.951623,95.394699,95.860077,58126000,0.000398,0.13054,74.5
2010-12-28,96.050848,96.08899,95.745681,95.997444,55309100,0.001432,0.124432,74.5
2010-12-29,96.111865,96.279701,96.05083,96.066086,58033100,0.000715,0.124121,74.5
2010-12-30,95.974532,96.226289,95.768542,95.913498,76616900,-0.00159,0.113108,74.5
2010-12-31,95.768537,96.02793,95.615956,95.936378,91218900,0.000239,0.113146,74.5
2011-01-03,96.668806,97.347799,95.898261,96.9282,138725200,0.010285,0.109676,74.2
2011-01-04,97.141797,97.172315,96.272076,96.874779,137409700,-0.000551,0.10992,74.2
2011-01-05,96.569609,97.43933,96.478058,97.378296,133975300,0.005184,0.109966,74.2
2011-01-06,97.416414,97.523222,96.897633,97.187538,122519000,-0.001961,0.098761,74.2
2011-01-07,97.317241,97.477452,96.241536,96.996819,156034600,-0.001964,0.092681,74.2
2011-01-10,96.569612,97.012103,96.279701,96.874779,122401700,-0.001259,0.08371,74.2
2011-01-11,97.225709,97.45458,96.851878,97.218079,110287000,0.003537,0.083757,74.2
2011-01-12,97.813177,98.202259,97.240986,98.095451,107929200,0.008984,0.082253,74.2
2011-01-13,98.133576,98.179349,97.691085,97.935211,129048400,-0.001635,0.062723,74.2
2011-01-14,97.797872,98.667593,97.729213,98.644707,117677900,0.007218,0.056353,74.2
2011-01-18,98.553169,98.904115,98.438737,98.812569,114401300,0.0017,0.056315,74.2
2011-01-19,98.728626,98.827796,97.584255,97.843643,151958400,-0.009854,0.065403,74.2
2011-01-20,97.622422,97.9581,96.989203,97.713974,175745700,-0.001326,0.065899,74.2
2011-01-21,98.324305,98.545544,97.828404,97.935211,151462900,0.002262,0.065639,74.2
2011-01-24,97.87418,98.606582,97.851293,98.492149,113715500,0.005671,0.066397,74.2
2011-01-25,98.232743,98.629461,97.736853,98.54554,167552200,0.000542,0.065233,74.2
2011-01-26,98.789683,99.216913,98.591318,98.927002,141281500,0.003863,0.065572,74.2
2011-01-27,98.949914,99.339007,98.774447,99.171165,123302700,0.002465,0.065599,74.2
2011-01-28,99.285557,99.445774,97.279097,97.439308,295637300,-0.017618,0.084403,74.2
2011-01-31,97.706356,98.248018,97.462218,98.171722,149249200,0.007489,0.085358,74.2
